dm,hu-no.,po-no.,customer,wire rod supplier,material,diameter,batch,ring-no.,ring mass wr,ring mass ad,wgm 1,wgm 2,grinding belt type 1,grinding belt type 2,used belts 1,used belts 2,nominal diameter,actual diameter rs,actual diameter re,drawing speed,drawing die no.,ampl. testing rs,ampl. testing re,coil diameter,cronet,membrain,production start,production end,sum erros,notes,staff no.
1,180661004,3921228,Mubea Mexico,SAG,,14,152192,6625,2963,2963,,,,,,,13.6,13.6,13.61,0.95,D6,45,45,16,y,y,08.09.2023 - 01:27,08.09.2023 - 02:12,2,s,s
1,177116900,3908292,Mubea Mexico,GSW,,16,151115,6834,2947,2944,,,,,,,14.5,14.5,14.51,0.92,E5,45,45,18,y,y,08.09.2023 - 02:25,08.09.2023 - 03:08,0,s,s
1,178568403,3916353,Mubea Mexico,SAG,,15,151751,8262,2915,2912,,,,,,,13.5,13.49,13.5,0.95,D5,45,45,18,y,y,08.09.2023 - 03:20,08.09.2023 - 04:06,1,s,s
1,180661000,3921229,Mubea Mexico,SAG,,14,152192,6631,2935,2932,,,,,,,13.6,13.6,13.61,0.95,D6,45,45,17,y,y,08.09.2023 - 04:16,08.09.2023 - 05:00,6,s,s
1,1785868379,3913427,Mubea Mexico,SAG,,15,151751,8244,2939,2936,,,,,,,14.2,14.2,14.21,0.95,E2,46,46,18,y,y,08.09.2023 - 05:12,08.09.2023 - 05:58,4,s,s
1,178568376,3913426,Mubea Mexico,SAG,,15,151751,8241,2923,2920,,,,,,,14.2,14.19,14.2,0.95,E2,45,45,18,y,y,08.09.2023 - 06:10,08.09.2023 - 07:00,3,s,s
1,178568402,3916350,Mubea Mexico,GSW,,15,151751,8260,2919,2916,,,,,,,13.5,13.51,13.5,0.92,D5,45,45,18,y,y,08.09.2023 - 07:10,08.09.2023 - 08:05,0,s,s
1,178568354,3921230,Mubea Mexico,GSW,,15,151752,8325,2935,2932,,,,,,,13.6,13.6,13.61,0.92,D6,45,45,18,y,y,08.09.2023 - 08:18,08.09.2023 - 09:10,0,s,s
1,178568373,3916354,Mubea Mexico,GSW,,15,151751,8236,2943,2940,,,,,,,13.5,13.51,13.5,0.92,D5,45,45,18,y,y,08.09.2023 - 09:25,08.09.2023 - 10:25,0,s,s
1,180660978,3921246,Mubea Mexico,GSW,,14,152192,6614,2967,2964,,,,,,,13.2,13.19,13.2,0.92,D2,45,45,18,y,y,08.09.2023 - 10:35,08.09.2023 - 11:20,0,s,s
1,178568370,3913425,Mubea Mexico,GSW,,15,151751,8268,1854,1854,,,,,,,14.2,14.2,14.21,0.75,E2,45,45,18,y,y,08.09.2023 - 11:32,08.09.2023 - 12:20,0,s,s
1,178568370,3913425,Mubea Mexico,GSW,,15,151751,8268-2,1062,1062,,,,,,,14.2,14.2,14.21,0.75,E2,45,45,18,y,y,08.09.2023 - 11:32,08.09.2023 - 12:20,0,s,s
1,175618236,3916368,Mubea Mexico,GSW,,19,150733,8956,1630,1630,,,,,,,17.2,17.2,17.21,0.87,H2,45,45,21,y,y,08.09.2023 - 12:32,08.09.2023 - 13:12,0,s,s
1,175618236,3916368,Mubea Mexico,GSW,,19,150733,8956-2,1314,1314,,,,,,,17.2,17.2,17.21,0.87,H2,45,45,21,y,y,08.09.2023 - 12:32,08.09.2023 - 13:12,0,s,s
1,178568377,3913432,Mubea Mexico,GSW,,15,151751,8242,2933,2930,,,,,,,13.6,13.61,13.6,0.92,D6,45,45,18,y,y,08.09.2023 - 13:24,08.09.2023 - 14:15,0,s,s
1,178568366,3913434,Mubea Mexico,GSW,,15,151751,8238,2933,2930,,,,,,,13.6,13.59,13.6,0.92,D6,45,45,18,y,y,08.09.2023 - 14:25,08.09.2023 - 15:10,0,s,s
1,180660976,3921237,Mubea Mexico,GSW,,14,152192,6616,2951,2948,,,,,,,13.2,13.19,13.2,0.92,D2,45,45,18,y,y,08.09.2023 - 15:20,08.09.2023 - 16:15,0,s,s
1,180660998,3921235,Mubea Mexico,SAG,,14,152192,6643,2937,2934,,,,,,,13.2,13.21,13.2,0.92,D2,45,45,18,y,y,08.09.2023 - 16:30,08.09.2023 - 17:30,0,s,s
1,175618238,3916371,Mubea Mexico,SAG,,19,150733,8945,2917,2914,,,,,,,17.2,17.2,17.21,0.75,H2,45,45,21,y,y,08.09.2023 - 19:45,08.09.2023 - 20:35,4,s,s
1,180531903,3916364,Mubea Mexico,SAG,,19,709509,7279,2436,2433,,,,,,,17.2,17.2,17.21,0.75,H2,45,45,21,y,y,08.09.2023 - 21:05,08.09.2023 - 22:00,6,s,s
1,178568380,3913433,Mubea Mexico,SAG,,15,151751,8245,2939,2936,,,,,,,13.6,13.6,13.61,0.95,D6,45,45,18,y,y,08.09.2023 - 22:15,08.09.2023 - 23:10,6,s,s
1,180660999,3921236,Mubea Mexico,SAG,,14,152192,6633,2921,2918,,,,,,,13.2,13.2,13.21,0.95,D2,45,45,17,y,y,08.09.2023 - 23:35,09.09.2023 - 00:25,6,s,s
1,178568367,3913271,Mubea Mexico,SAG,,15,151751,8254,2919,2916,,,,,,,13.6,13.6,13.61,0.95,D6,45,45,18,y,y,09.09.2023 - 00:37,09.09.2023 - 01:15,6,s,s
1,180531925,3916362,Mubea Mexico,SAG,,19,709509,7271,2444,2441,,,,,,,17.2,17.21,17.2,0.75,H2,45,45,21,y,y,09.09.2023 - 02:00,09.09.2023 - 02:30,6,s,s
1,180660977,3921245,Mubea Mexico,SAG,,14,152192,6615,2957,2954,,,,,,,13.2,13.2,13.21,0.95,D2,45,45,17,y,y,09.09.2023 - 02:42,09.09.2023 - 03:30,6,s,s
1,178568378,3916404,Mubea Mexico,SAG,,15,151751,8243,2949,2946,,,,,,,13.6,13.59,13.6,0.95,D6,45,45,18,y,y,09.09.2023 - 03:45,09.09.2023 - 04:35,6,s,s
1,175618233,3916370,Mubea Mexico,SAG,,19,150733,8964,2911,2908,,,,,,,17.2,17.21,17.2,0.75,H2,45,45,21,y,y,09.09.2023 - 05:00,09.09.2023 - 05:40,6,s,s
1,178568407,3921247,Mubea Mexico,SAG,,15,151751,8271,2927,2924,,,,,,,13.8,13.8,13.81,0.95,D8,45,45,18,y,y,09.09.2023 - 05:55,09.09.2023 - 06:50,6,s,s
1,178568381,3916405,Mubea Mexico,GSW,,15,151751,8251,2939,2936,,,,,,,13.6,13.6,13.61,0.92,D6,45,45,18,y,y,09.09.2023 - 07:05,09.09.2023 - 08:20,13,s,s
1,180531899,3916363,Mubea Mexico,SAG,,19,709509,7277,2438,2435,,,,,,,17.2,17.21,17.2,0.92,H2,45,45,21,y,y,09.09.2023 - 08:30,09.09.2023 - 09:15,0,s,s
1,178568406,3921250,Mubea Mexico,GSW,,15,151751,8270,2917,2914,,,,,,,13.8,13.79,13.8,0.92,D8,45,45,17,y,y,09.09.2023 - 09:40,09.09.2023 - 10:15,0,s,s
1,180660979,3921224,Mubea Mexico,GSW,,14,152192,6611,2933,2930,,,,,,,13.2,13.21,13.2,0.92,D2,45,45,17,y,y,09.09.2023 - 10:30,09.09.2023 - 11:35,0,s,s
1,180531900,3916361,Mubea Mexico,SAG,,19,709509,7269,2444,2441,,,,,,,17.2,17.21,17.2,0.92,H2,45,45,21,y,y,09.09.2023 - 11:47,09.09.2023 - 12:25,0,s,s
1,178568405,3921252,Mubea Mexico,GSW,,15,151751,8269,1920,1920,,,,,,,13.8,13.81,13.8,0.92,D8,45,45,18,y,y,09.09.2023 - 12:37,09.09.2023 - 13:10,0,s,s
1,178568405,3921252,Mubea Mexico,GSW,,15,151751,8269-2,988,988,,,,,,,13.8,13.81,13.8,0.92,D8,45,45,18,y,y,09.09.2023 - 12:37,09.09.2023 - 13:10,0,s,s
1,178568346,3921221,Mubea Mexico,GSW,,15,151753,8221,2923,2920,,,,,,,13.2,13.19,13.2,0.92,D2,45,45,18,y,y,09.09.2023 - 13:40,09.09.2023 - 14:30,0,s,s
1,175618232,3916367,Mubea Mexico,GSW,,19,150733,8965,2939,2936,,,,,,,17.2,17.21,17.2,0.92,H2,45,45,21,y,y,09.09.2023 - 14:42,09.09.2023 - 15:15,0,s,s
1,178568353,3921251,Mubea Mexico,GSW,,15,151752,8321,2935,2932,,,,,,,13.8,13.81,13.8,0.92,D8,45,45,17,y,y,09.09.2023 - 15:30,09.09.2023 - 16:15,0,s,s
1,178568901,3921222,Mubea Mexico,GSW,,15,151752,8278,2883,2880,,,,,,,13.2,13.19,13.2,0.92,D2,45,45,17,y,y,09.09.2023 - 16:27,09.09.2023 - 17:10,0,s,s
1,177116890,3925165,Mubea Mexico,GSW,,16,151115,6833,2961,2958,,,,,,,14.1,14.09,14.1,0.92,E1,45,45,18,y,y,09.09.2023 - 17:20,09.09.2023 - 18:10,0,s,s
1,180531923,3916366,Mubea Mexico,SAG,,19,709509,7285,2430,2427,,,,,,,17.2,17.21,17.2,0.92,H2,49,49,21,y,y,09.09.2023 - 18:20,09.09.2023 - 19:00,0,s,s
1,180160516,3925186,Mubea Mexico,SAG,,12,710619,9307,1215,1215,,,,,,,10.3,10.31,10.3,0.95,A3,45,45,15,y,y,09.09.2023 - 19:30,09.09.2023 - 20:38,0,s,s
